target_alpha,gamma,cal_ucb,realized_test_risk,valid
0.02,0.0,0.0,0.0,True
0.05,0.0,0.0,0.0,True
0.1,0.0,0.0,0.0,True
0.2,0.05,0.1955,0.0161,True
0.3,0.4,0.2941,0.1067,True
